題目,答案
試問公開發行公司除經主管機關核准者外，董事間應有如何比例之席次，不得具配偶或二等親以內之親屬關係？,超過二分之一
證券承銷商辦理有價證券之承銷，現行有幾種配售方式？,四種
在波浪理論中，漲升波與修正波分別有幾個？,5、3
池上公司宣告股票股利，宣告前之流動比率為2，則宣告後：,保留盈餘減少
股市名嘴在社群媒體上推薦分析特定個股利多消息，建議會員買進，以下何者正確?,若散布不實消息或意圖影響市場，可能被移送司法單位偵辦
我國資本額達新臺幣100億元之上市上櫃公司之合併財務報告子公司，應自何時起完成溫室氣體盤查之確信資訊揭露？,2027年
已知富源公司X7年度速動比率0.8，流動比率1，則該公司企業血壓為：,0.2
下列有關庫藏股的敘述，何者正確？,庫藏股會影響公司的每股盈餘
股份有限公司設立時，第一次發行股份總數，至少應達全部股份總數之多少比例？,無限制規定
動能投資策略其假設投資人可以因為市場反應不足而獲得超額報酬，其策略類似於：,追漲殺跌
有關資訊安全之機密性，下列敘述何者正確 ？,需要經過授權後，始可取得相關資訊
證券商依規定必須每月幾日以前申報資本適足比率資料？,十日
為防制內線交易，下列何者「不」是臺灣證券交易所所做的努力?,舉辦員工運動會
有關「公司法」之公司，下列敘述何者正確？,公司以其本公司所在地為住所
具備下列何項資格可為推薦股票上櫃之證券商？,具證券承銷商及櫃檯買賣自營商資格
下列何項在資產負債表中屬於「現金及約當現金」之一部分？,一年期定期存單
投資資訊中心提供之下載資料檔案格式不包含下列何者,WORD
有關證券經紀商手續費敘述，以下何者正確？,買進與賣出時各計算一次
仲裁庭認定仲裁達於可為判斷之程度者，依當事人聲明之事項，應於幾日內作成判斷書？,10日
何者為投資本國政府債券所會面臨的主要風險？,利率風險
甲上市公司董事長王先生利用職權掏空公司資產的行為，何者正確？,掏空公司資產是經濟犯罪的一種，非屬內線交易
證券金融事業辦理對證券商之轉融通，指：,證券商向證券金融事業辦理轉融通資金或有價證券
何者不是持有某公司債券的系統風險?,發行公司的財務風險
對從事有價證券之承銷、自行買賣及經紀業務之自律規則，係由下列何者單位負責擬定？,證券商業同業公會
稱轉融通者，指下列何者向證券金融事業辦理轉融通資金或有價證券？,證券商
依法規定下列何者應列席董事會報告稽核業務?,稽核主管
股份有限公司董事之報酬，未經章程訂明者，得以何種方式議定？,由股東會議定
關於委託人融資融券擔保維持率，下列哪一項敘述正確？,融資擔保品證券市值下跌，會使擔保維持率下降
下列何者為綜合證券商業務經營範圍？,承銷、自營、經紀業務
股份有限公司之股東常會，每年至少應召集幾次？,1次
證券商經營櫃檯買賣，下列敘述何者正確？,兼具證券自營商及經紀商者，於每次買賣時之書面文件區別自行或代客買賣
其他條件相同，在通貨膨脹期間，投資人可接受的本益比：,較低
下列何者不是衡量風險的指標？,平均數
何謂「風險規避者」？,即財富的邊際效用大於0，而邊際效用隨著財富的增加而遞減
下列何者不是股份有限公司之解散事由？,公司轉投資逾越公司章程之規定
下列何種情形，上市(櫃)公司毋須委請承銷商出具評估報告？,補辦公開發行
應付公司債折價於資產負債表中應列為：,負債之減項
證券金融公司某種證券有價證券發生差額時，應於何時起向該種證券所有人標借？,次一營業日9:00
存貨週轉率愈高，則：,有過時存貨的機會愈小
某公司今年度每股盈餘5元，表示其可發放之每股股利為：,不一定
為鼓勵企業支持文化藝術活動並促進文化永續發展，上市上櫃公司宜經由的支持模式，何者為非?,用愛發聲
高登主廚的「是chef」餐飲集團目前為第一上櫃公司，近日高登主廚考慮要申請第一上市，請問下列何者非為第一上櫃轉第一上市之相關規定?,證交所還是必須召開審議會審核其第一上市申請
證券承銷商出售證券時，負有代理發行人交付何種文書之義務？,公開說明書
以下敘述何者正確？,股份有限公司之董事與公司之為委任關係，故董事應負之責任，除善良管理人之注意義務，尚有忠實義務
在何網站查詢公布處置股票資訊？,臺灣證券交易所網站首頁>市場公告>公布處置股票
投資人想要找上市公司除權息行事曆，需要到投資資訊中心的哪一個頁面,市場公告與服務
證券經紀商與證券交易所因使用市場契約所生爭議，得以下列何方式處理？,應強制仲裁
下列何者會影響盈餘品質？,其他3個選項皆會會影響
電話委託買賣股票時，可透過何種管道委託買賣？,證券公司電話
申請以科技事業上市之發行公司，應經何者出具其係屬科技事業之明確意見書？,該事業之中央目的事業主管機關
下列何項不可能會出現在企業的綜合損益表？,保留盈餘
下列有關短線交易規定之敘述，何者錯誤？,短線交易的期間為三個月
當日現券賣出成交後，未完成反向買進，致無法完成當日沖銷交易時，投資人可透過哪一種方式完成交割?,其他3個選項皆是。
依「發行人證券商證券交易所會計主管資格條件及專業進修辦法」規定，證券商會計主管每年應參加經主管機關認定之進修機構所舉辦之會計、審計、財務、金融法令、公司治理、職業道德及法律責任等相關專業訓練課程幾小時以上？,12小時
以下哪項資訊無法在ESG數位平台取得？,財報
自行利用技術分析，買賣股票獲利，這種行為？,不違法
公司制證交所之董事、監察人至少應有多少是由主管機關指派非股東之有關專家任之？,三分之一
下列何者最不可能是兩檔股票報酬率之間的相關係數(coefficient of correlation)？,1.27
證券商委託人月成交金額達5千萬元以上者，除專業機構投資人與透過保管機構進行款券保管、交易確認及辦理交割者外，應抽查多少樣本數，並以掛號向委託人戶籍地詢證?<,至少20%或20戶
集中交易市場之買賣，採何種方式？,電腦自動交易
臺灣各類型ETF每日的漲跌幅度限制何者為是？,現行2倍槓桿型台股ETF之漲跌幅度限制為±20%
"X9年基隆綜合損益表列報之利息費用40,000，所得稅費用60,000，淨利240,000，同年之資產負債表顯示總資產2,400,000，流動負債300,000，非流動負債為900,000，則財務槓桿指數為何?<",1.77
下列敘述何者正確？,發起人之股份非於公司設立登記後，不得轉讓
證券金融事業依標借、議借程序所取得證券之數量仍有不足時，應於當日之何時委託證券商在證交所辦理標購？,14:30前
內線交易情節重大者，法院得將損害賠償義務人之賠償額提高三倍，其前提要件為何？,須有損害賠償請求權人之請求
目前證券金融事業得經營下列哪些業務？,其他3個選項皆是
下列何者「非」為公司治理評鑑辦理目的?,引起企業互相檢舉
何者現象發生時，政府將會採取寬鬆的貨幣政策？,綠燈轉為黃藍燈
衡量風險時，需考慮到多方面的風險來源，如石油危機、美中貿易戰即屬於：,市場風險
關山公司應收帳款收現時，則（考慮立即影響）：,現金對固定支出的保障比率上升
未上市公司持股一千股以上之記名股東人數未達三百人者，於現金發行新股時，原則上應提撥發行新股總額之多少比率，對外公開發行？,百分之十
對獲利不佳的資產股而言，下列何種評價方法較適當？,每股股價除以每股重估淨值
大同發現市場上有許多以台積電為標的的認購權證，如果在其他情況相同條件下，距到期日越長，認購權證的價格為何?,越高
是否每一家證券商都可以辦理ETF的申購/贖回？,否，必須符合證交所規定之資格並與ETF發行人簽約的參與證券商才可辦理
下列何者不是權益證券（Equity Securities）？,公司債
下列何者並非證券商得經營之業務？,提供集中交易之場所及設備
於編製合併報表時，需將子公司沖銷後之普通股股東權益餘額轉列：,非控制權益
某公司今年每股發放股利3元，在股利零成長的假設下，已知投資人的必要報酬率為6%，則每股普通股的預期價值為：,50元
會員制證券交易所董事、監事之任期規定為何？,均為3年，連選得連任
保護基金投資每家上市上櫃公司股票之原始投資不得超過：,一千股
下列何者為股份有限公司章程絕對必要記載事項？,董事及監察人之人數及任期
下列何者非為證券交易法所稱之有價證券?<,商業本票
甲公司董事長乙未經證券主管機關核准，亦未申報，即自行公開招募所發行之有價證券，請問，乙之行為應負何法律責任？,可處五年以下有期徒刑
依「公司法」規定，下列何者非股份有限公司的負責人？,公司股東
證券交易爭議當事人間對仲裁程序事項，下列敘述何者有誤？,當事人未約定仲裁地者，由法院決定
何者不是持有某公司債券的系統風險?<,發行公司的財務風險
初次申請股票上市之發行公司，所應提交集中保管股票之總計比率，在已發行股份總額三千萬股以下者，應提交股份總額百分之多少？,0.25
委託人申請開立信用帳戶訂定融資融券契約，除期滿辦理續約者外，應開立受託買賣帳戶滿幾個月才可申請開立信用帳戶？,3個月
以下哪些組合符合公開發行公司審計委員會行使職權辦法所設置之審計委員會?<,由分別具生醫、法律、會計專業背景全體獨立董事共4位組成之審計委員會
公開發行公司公司之董事、監察人、經理人，其股票之轉讓，應依一定方式進行，下列方式，何者正確？,於向主管機關申報之日起三日內，向符合主管機關所定條件之特定人為之
櫃檯買賣股票之報價單位與成交單位分別為幾股：,"1股；1,000股"
委託人融資期限屆滿未清償，經證券商處分擔保品後，自逾期之日起，至清償日止，按核定利率之多少比率加收融資違約金？,0.1
證券商以現金繳存給付結算基金者，其所生孳息，證券櫃買中心係依下列何種方式處理？,每半年結算乙次，於扣除其稅捐及所需費用後發還
權證距到期日幾個交易日以內，流動量提供者提供報價，得僅申報買進?<,15個
下列何種資產減損損失不得迴轉？,商譽
"新馬公司開出60天期票據，向銀行借入現金$100,000，則：",營運資金不變
證券經紀商接受客戶委託進行櫃檯有價證券之買賣時，證券櫃檯買賣中心對於委託單有何限制？,每筆輸入股數不可超過50萬股
仲裁事件依法於仲裁判斷前得為和解，若當事人間和解成立者，由何者作成和解書？,仲裁人
防制內線交易之目的「不」包括？,防範公司資產遭掏空
一般而言，景氣由谷底復甦時，舉債程度較高的公司股票：,價格漲幅較大
金管會發布之「上市櫃公司永續發展路徑圖」，目的在推動上市櫃公司?,進行碳盤查及查證
除有特別規定外，證券商所持有之營業用不動產及設備總額，及非營業用不動產總額合計不得超過其資產總額之多少比例？,0.6
證券商之董事、監察人及經理人發生不得擔任董事、監察人與經理人之消極資格情事時：,該券商應於知悉或事實發生之日起5個營業日內申報
「證券交易法施行細則」係由下列何機關所訂定？,金融監督管理委員會
本國發行人要申請為興櫃股票，不須達成下列何項條件？,有3家證券商書面推薦
證券商如發現疑似洗錢或資恐交易者，應於專責主管核定後立即向那個單位申報?,法務部調查局
辦理法人說明會效益可為上市公司帶來那些效益?,其他3個選項皆是
證券商辦理有價證券買賣融資融券，對每種證券之融資總金額，不得超過其淨值的多少比例？,0.1
證券投資人如遭遇投資民事糾紛，可向證券投資人與期貨交易人保護中心所設立之調處委員會申請調處，委員會應於受理申請幾日內進行調處？,15日
「證券商營業處所買賣有價證券管理辦法」第二條對櫃檯買賣的定義是：,不在集中交易市場以競價買賣，而在證券商專設櫃檯交易
證券主管機關於何種情形之下，得命令證券商提出財務或業務之報告資料，或檢查其營業、財產、帳簿等物件？,其他3個選項皆可
就技術分析而言，支撐水準（Support Level）的位置，通常表示：,買氣大於賣壓
上市公司董事參加董事會知悉重大利多消息，在此消息正式對外公開幾小時之後始能買賣該公司股票？,18小時
證券商製播廣告，應由證券商業同業公會訂定辦法，並：,不得誇大或偏頗
有關短線交易利益歸入權，下列敘述何者正確？,董事或監察人不行使請求權，致公司受有損害時，對公司負連帶賠償之責
甲公司之股票雖在證券櫃買中心掛牌，但是嗣後公告並申報之最近期財務報告顯示淨值為負數，證券櫃買中心應如何處理？,得終止甲公司有價證券櫃檯買賣，並報請主管機關備查
會員制證券交易所，經主管機關許可並依法辦理登記後，應向國庫繳存營業保證金，其金額為下列何者﹖,會員出資總額百分之五
台積電普通股股票除可以本國編碼2330表達外，亦可以其他國際通行的編碼方式表達。若將台積電普通股表達為「TW0002330008」，請問是根據以下何種編碼方式進行表達?,ISIN (International Securities Identification Number)
重整監督人應決定之事項下列何者為非？,重整期間界定
下列何者人員得擔任防制洗錢專責主管？,法令遵循主管
以下有關「共同責任制交割結算基金」敘述，何者為非？,本基金由所有上市櫃公司繳存
資本額達新臺幣100億元以上之上市上櫃公司（含合併財務報告子公司），最晚須在何時揭露溫室氣體盤查之減碳目標？,2025年
各種得為融資之股票，證券金融公司均於除權交易日前幾個營業日起，按每天收盤價格扣除其權值，如整戶維持率不足，即辦理追繳差額？,六個營業日
彰化公司未調整應收票據所產生之應收利息，將：,低估利息收入
依「公司法」第167條第2項規定，收回或收買之股份，公司應於幾個月內按市價出售，逾期未出售者，視為公司未發行股份並變更登記？,6個月
經評估客戶單日買賣額度達新台幣多少金額以上者，其徵信資料應視客戶資產狀況隨時調查更新？,500萬元
有關ETN交易限制事項，下列何者為非？,不得零股交易
某手機大廠推出新產品有重大瑕疵，影響該公司股價下跌，請問這屬於何種風險？,事業風險
下列何者為約當現金：,三個月期定期存款
將一項利息收入誤列為營業收入，將使當期淨利：,不變
結構化與非結構化資料分析與處理屬於下列哪一項金融科技與證券業的未來發展？,數據分析
證券商向違約投資人收取違約金，下列何者正確?,當沖交易得以買賣沖銷後差價金額為收取違約金上限
已依證交法發行之公司，其募集與發行公司債之規定，何者敘述為非？,僅能發行有擔保公司債、轉換公司債或附認股權公司債
審查發行人所申報之財務報告資料時，發現不符合法令規定，得以命令糾正、限期改善並處罰該發行人之機關為：,金管會
證券暨期貨市場各服務事業應針對不同規模設置資訊安全專責單位及主管，其資本額達多少以上者應設資安專責單位，該單位應配置專責主管及至少三名專責人員?,200億以上
「證券交易法」所訂公開說明書之編製義務人為何？,發行人
證券仲裁事件，爭議當事人間對仲裁人不能依協議推定另一仲裁人時，應由何一方式決定？,由仲裁協會指定
上市有價證券私人間之直接讓受，其數量不得超過該證券之多少個成交單位？,1個
"三民公司購買設備，成本1,000,000，估計可用10年，殘值50,000。若採用雙倍餘額遞減法（Double Declining Balance）提列折舊，則使用第2年之折舊費用若干？",160000
下列有關櫃檯買賣交易原則之敘述，何者有誤？,櫃檯買賣證券商以等殖成交系統為櫃檯買賣時，其申報買賣數量須一次成交，不得部分成交
證券商交割專戶設置客戶分戶帳相關之報表、憑證及文件應至少保存多久?,五年
下列有關資本結構比率之公式，何者正確？,負債比率＝負債總額／資產總額
"甲公司X7年1月1日帳列長期投資－乙公司已上市普通股50%股權(取得成本與股權淨值間無差異)，X7年乙公司淨利為200,000，甲公司並獲配其發放現金股利20,000，則甲公司該年度可認列投資收益：",100000
不動產、廠房及設備不以淨變現價值為評價依據，係基於：,繼續經營之假設
下列何者非信用交易之功能?,鼓勵投機獲利
下降楔形（Falling Wedge）通常被視為連續型態（Continuation Pattern），但有時也可能成為：,底部反轉型態
發行人要將其股票在交易所掛牌買賣，交易所因提供場所，每年依據發行有價證券之總面值，向發行人收取之費用稱為?,上市費
下列何者並非在臺灣證券交易所(集中交易市場)上市買賣的有價證券？,股票選擇權
下列何者為金管會推動金融科技的目標？,其他3個選項皆是
甲上市公司8月份的營收為6億元。依證券交易法之規定，該公司8月份月營收報表最晚應在何時以前申報？,2025-09-10 00:00:00
標借證券之最高標借單價，以融券差額發生日該種證券收盤價格多少為限？,0.07
公司制證券交易所之最低實收資本額為：,新臺幣5億元
下列何者非公司重整時，關係人會議之任務？,選派重整人
下列何者非屬「上市上櫃公司永續報告書確信機構管理要點」中永續指標或溫室氣體之確信標準?,TWSAE3401A
下列何者是測驗一企業短期償債能力之最佳比率？,速動比率
所謂總體經濟分析，不包括下列哪項？,公司接單情形
某證券商淨值為一億元，自辦融資融券對某一證券融資總金額不得超過多少？,一千萬元
下列有幾項財務分析有助於評估企業的資產結構？　甲、負債對權益比率；乙、總資產報酬率；丙、不動產、廠房及設備對權益比率；丁、利息保障倍數,1項
關於逐筆交易實施後，新增的委託種類，下列何者有誤？,委託價格及種類上，增加「全權委託」
證券商從事櫃檯買賣業務，下列何者非必要條件？,增加二千萬元之提撥資本
轉換公司債持有人請求轉換，公司或其代理人於受理轉換之請求後，應於幾個營業日內發給債券換股權利證書？,5個營業日
下列哪些措施無法強化資訊揭露，提升上市公司的資訊透明度？,避免召開法說會
下列何者不是比較財務報表分析的限制？,前後兩期更換管理階層
市場投資組合的預期報酬率為18%，無風險利率為4%，則風險溢酬為：,0.14
申請股票上櫃公司須指定幾家主辦推薦證券商，方得申請其股票登錄為櫃檯買賣？,二家
在其他條件相同之下，一年發放一次孳息的甲債券與半年發放一次孳息的乙債券，何者面臨之風險較大？,甲
有價證券在集中市場之買賣，原則採下列何者交割方式﹖,現款現貨
下列何者非財務報告分析時之限制？,無法做量化的分析
現行我國公司發給之員工紅利於財務報表中係列為：,營業成本或費用
可贖回公司債之贖回權利是操之於：,發行公司
甲為Z上市公司董事長，其於某年1月10日以每股10元買進Z公司股票一萬股，又於同年3月15日以每股18元賣出Z公司股票一萬股。甲之行為應負證券交易法上何種責任？,短線交易
下列何者為對公開發行公司無義務申報持股變動之人？,檢查人
初次申請股票上市之發行公司，其有價證券上市契約生效後，在下列何項期限內未完成公開銷售者，證券交易所得註銷該上市案：,三個月
公司召開實體股東會，並以視訊加以輔助，股東會議事手冊應納入哪項資訊？,其他3個選項皆是
下列關於公司治理評鑑結果公布之描述，何者「不」正確?,未有以產業及市值之分組方式公布
影響債券違約風險的描述，何者為真?,信用評等愈高，違約風險愈小
上市公司自願公開每月自結損益資訊者，應於當月結束後多久前申報?,次月底
對公開說明書之重要內容記載，能證明已經合理調查，並有正當理由確認其簽證或意見為真實者，而不負賠償責任者，係下列何人？,專門職業或技術人員
下列哪些規則或契約是證券交易所依法應訂立者？,其他3個選項皆是
下列何者非為買賣委託書上之委託方式?,電報委託
財務比率分析並未分析下列公司何項財務特質？,購買力風險
事業風險之於營運槓桿，如同財務風險之於：,財務槓桿
若一投資組合的貝它（β）係數小於0，則其與市場投資組合的相關係數為：,小於0
下列何種資產之流動性最低？,商譽
上市公司的年度財務報告應於每會計年度終了後多久期限內內公告申報?,3個月
哪些分析工具可從半強式效率市場中賺取超額的報酬？,內線消息
投資人開立買賣上市有價證券帳戶時，證券經紀商應依何種順序編列開戶帳號？,開戶順序
證券交易所有違反法令之行為時，主管機關得為解散證券交易所之處分，但應先報經何一機關核准？,行政院
不限用途款項借貸之融通期間屆期得展延2次，惟最初融通期間以多久為限?,6個月
「證券交易法」所稱發行人，指募集及發行有價證券之公司，或募集有價證券之何人？,發起人
何者是行情走疲的訊號？,M頭
公開發行公司編製財務預測所表達的項目，可以不包括下列那一項？,利息費用
證券交易法規定，涉及違反內線交易之罪者，可能應負：,其他3個選項皆有可能
以下有關附條件交易的敘述，何者「不正確」?,公司債附買回交易的利率會低於公債附賣回的利率
公開發行股票公司之內部人未依規定於每月五日向所屬公開發行公司申報上個月份持股變動情形者，主管機關可處？,新臺幣二十四萬元以上，四百八十萬元以下罰鍰
下列何者非為iXBRL之申報內容範圍？,會計師工作底稿
上市公司訂定「印鑑使用之管理」之內部控制制度，下列敘述何者為是？,其他3個選項皆是
買賣股票不可透過哪種方式委託下單買賣股票？,通訊軟體(例如Line)
證券承銷商於承銷期間為自己取得代銷之上市股票者，其法定最高罰鍰，為下列何項？,相當於取得有價證券之金額
"鎮安公司X2年度其銷貨收入90,000元，銷貨成本為60,000元，則鎮安公司的銷貨毛利率為何？",0.33
公司月營收應於次月幾日前公告並申報?,10日
透過櫃買中心「黃金現貨交易平台」買賣黃金現貨漲跌幅度的限制為：,沒有漲跌幅的限制
申請以科技事業上市之發行公司，其實收資本額至少應達新臺幣多少以上？,三億元
阿呆看到報紙報導某國外知名科技公司外國公司想要來台發行股票，請問如果要以科技事業申請來臺第一上市，則下列選項何者為非?,有3年以上業務紀錄
下列何者不屬於短期償債能力的指標？,負債比率
資本資產訂價模型（CAPM）認為貝它（β）係數為1之證券的預期報酬率應為：,市場報酬率
公開發行公司發放股票股利，原則上應事前經下列何者之同意通過？,股東會之特別決議
依據證券交易法規定，證券承銷方式不包含下列哪一種型態？,居間銷售
自然人在盤中零股交易之下單方式為何?,僅限電子式下單
逐筆交易後，只有以下何種委託方式，可能會觸發瞬間價格穩定措施？,限價ROD
下列有關總資產報酬率之敘述，何者不正確？,分子為淨利加利息費用
外國證券商在中華民國設置分支機構，依規定不須具備之條件為：,在東京、倫敦、紐約任一交易所是會員
櫃檯買賣股票之發行人應於每月幾日以前，於證券櫃買中心指定之網際網路資訊申報系統申報上月份營運情形？,10日
為何ETF的管理費較一般共同基金低廉？,因為ETF根據指數成分股建構投資組合，不需支付個股研究分析費用
股份有限公司業務之執行，由何機關決定之？,董事會
發行人募集與發行有價證券，自申報生效通知到達之日起，逾一定時日尚未募足並收足現金款項者，金融監督管理委員會得撤銷或廢止其申報生效。其一定時日是指：,三個月
興櫃一般板股票交易漲跌幅度的限制為：,沒有漲跌幅的限制
下列何者非證券交易所對違反證券交易所相關業務規則者之經紀商所為之處分？,廢止證券商登記
股份有限公司發行新股時，除有特別規定者外，應保留原發行新股總額百分之多少股份由公司員工承購？,百分之十至百分之十五
證券金融公司應向委託人收取融資利息依下列哪一種方式計收？,融資成交日後第二營業日迄清償日前一日之日數計算
下列簡稱何者非為創新板上市公司？,創創
我國全體上市櫃公司（含合併財務報告子公司）最晚須在何時揭露溫室氣體盤查之減碳目標？,2027年
證券經紀商對客戶折讓之手續費，應如何給付？,撥入至原交割帳戶
下列敘述何者最能解釋資本市場線（CML）？,資本市場線是效率投資組合的訂價模式
潮州公司的股價為40元，每股股利為4元，則其股利收益率為：,0.1
股份有限公司之少數股東在具備以下何項資格時，得以書面記明提議事項及理由，請求董事會召集股東臨時會?,繼續一年以上，持有已發行股份總數3%以上股份
依公司法規定，股份有限公司之股東得自行召集股東臨時會之條件為何？,繼續持有三個月以上，持有已發行股數總數過50%
關於「券商對媒體轉載之說明」，不需包含下列何者事項?,如媒體非經同意而引述，券商所採取之行動
假設目前甲公司的淨值為900萬元，流通在外股數為100萬股，若所屬產業的合理市價淨值比為11倍，則其合理股價應為：,99元
當事人之一方已選定仲裁人之後，得以書面方式催告另一方於多久內選定仲裁人？,14日
公司決定提高股利支付率，將使未來年度本益比：,無法判斷
「證券交易法」第一百五十七條之一所定內部人交易之民事賠償責任，其賠償對象為下列何者？,當日就該股票善意從事相反買賣之人
下列何者非證券自營商於營業處所議價買賣股票之範圍？,零股買賣
公司召開股東會時，股東行使其表決權，下列敘述何者為非？,得以公告方式行使其表決權
股票發行之溢價應列入：,資本公積
委託人未依規定交付融資自備款或融券保證金者，證券商之下列處理方式何者正確？,代辦交割手續
證券商代理證券金融公司辦理融資融券買賣業務，應編製何種報表與證券金融公司辦理對帳？,證券金融事業融資融券申請表
投資人對於媒體轉載證券商研究報告，何者錯誤?,媒體轉載個股價格，可直接參考，無須注意分析內容
逐筆交易實施後，何種委託種類會觸發並進入價格穩定措施？,一般限價委託
上市公司應設置薪資報酬委員會，有關薪資報酬委員會成員應取得之專業資格條件不包含？,AI
根據資本資產訂價模型（CAPM），抗跌性強的股票其系統性風險指標可能為：,β＜1
證券商得為認購（售）權證發行人資格條件為：,經營自營、承銷及經紀業務之綜合證券商
下列何者非「證券交易法」規範事項？,公司之設立登記與組織
經中央目的事業主管機關出具其係屬科技事業或文化創意事業且其產品開發成功具有市場性之明確意見書之公司，申請上櫃時得不受哪一申請條件限制？,設立滿二個完整會計年度
下列何種人員不得進入集中交易市場？,證券商業同業公會派駐人員
下列何種科目不在資產負債表中？,所得稅費用
何者不屬於市場風險？,某公司被同業併購
公開發行股票公司之何種人員轉讓股票，應按「證券交易法」之特別規定為之？,持股超過公司股份總額百分之十之股東
不動產抵押債權證券屬於：,金融資產
股票已上市公司，再發行新股者，其新股股票於何時起上市買賣？,新股股票向股東交付之日
有關董事會評鑑之評估方式有哪些？,其他3個選項皆是
股票已在經核定之國外證券市場掛牌交易，且經財團法人中華民國證券櫃檯買賣中心同意上櫃買賣者稱之為？,第二上櫃公司
於櫃檯買賣之公司債之最低成交單位為面額：,一萬元
證券商欲經營外國債券之經紀或自營買賣業務，須先取得哪一機關許可?,中央銀行
下列何者為窗飾之作法？,其他3個選項皆是
法定盈餘公積之性質屬於：,保留盈餘之一部分
轉換公司債每一交易單位之面額為多少？,新臺幣十萬元
下列何者在計算時，會將有關的資產轉換成現金所需時間的長短列入考量？,流動性指數
何者金融創新應用可以快速回應事件的發生？,市場供應
下列何者須於送件7個營業日前委託股務代理機構，透過網際網路資訊申報系統向集保公司申請專業股務代理機構證明文件？,其他3個選項皆是
申請創新板上市時，何者非為強制集保之對象？,財務長
臺灣證券交易所對在計算發布處置基數期間，未曾依監視當沖標準公布注意交易資訊之有價證券，處置措施的期間為何？,10個營業日
證券商交割專戶設置客戶分戶帳應逐日編製日報表，並於每日何時傳送前日日報表資料予證券交易所，再由證券交易所轉傳集保結算所提供客戶查詢?,10:00:00
有關國內採用IFRSs預計產生之效益，下列何者錯誤？,財務報表的揭露規定較為簡化，可大幅減少成本
有一投資組合由甲、乙兩股票組成，請問在什麼情況之下，投資組合報酬率之標準差為甲、乙兩股票個別標準差之加權平均？,兩股票報酬率相關係數＝1
下列何者非證券集中保管事業之經營業務？,代辦證券商之融資融券事項
假設履約價格為八十元，標的股票價格為七十元，則該認購權證處於：,價外（Out-of-the-money）
應付員工之退休金負債，應如何計提？,按權責基礎
當投資人的風險態度轉趨保守時，證券市場線（SML）將會：,斜率變陡
對於上市之有價證券，意圖影響集中交易市場有價證券交易價格，而散布流言或不實資料者，最高可處幾年有期徒刑？,10年
以下有關買賣委託之敘述，何者錯誤?,限價買進時，不得在限價以下成交
某證券商流動資產為二十億元，則其流動負債不得超過多少元？,20億元
下列敘述何者正確？,資訊資產應列有清冊，清冊並應加以維護
開立受託買賣帳戶滿幾個月才可申請開立信用帳戶？,三個月
一般而言，若公司未來成長機會的價值已被反映到當期股價上，則購買何種股票的投資人將無法賺到超額報酬？甲.負成長公司；乙.零成長公司；丙.正成長公司,甲、乙、丙
從事房地產銷售之A上市公司（下稱A公司）擬辦理私募普通股，甲、乙、丙、丁皆為合格應募人。依我國現行證券法令及相關實務見解，A公司對何人於私募完成前負有提供與本次私募有關財務、業務或其他資訊之義務。？,淨資產超過新臺幣1千萬元、以股市、房地產投資為專業之自然人丙
哪一個機構是資本市場促進資本形成之主要成員？,證券商
申請創新板上市應先由主辦證券承銷商上市輔導或登錄為興櫃股票櫃檯買賣，期限規定為何？,6個月
下列何者非景氣同時指標（Coincident indicator）？,股價指數
根據馬凱爾五大定理，一債券到期殖利率上升一碼與下降一碼所產生之折價額與溢價額比較為何?,折價額小於溢價額
下列何者非為買賣委託書上之委託方式?,網際網路委託
某上市公司正依破產保護法之規定進行相關程序，公司董事實際知悉後，在消息發布前即賣出該公司股票，可能涉有？,內線交易
"甲公司應收帳款週轉率13，當年度平均應收帳款$50,000，平均不動產、廠房及設備餘額$500,000，則不動產、廠房及設備週轉率為：",1.3
證券商之董事、監察人、大股東及從業人員買賣上櫃股票應如何辦理？,應於本身所投資或服務證券商買賣
櫃檯買賣市場上受託買賣之手續費率係?,由證券櫃買中心報請金管會核定之
失業率是景氣循環的：,落後指標
下列有關「公司法」所稱「關係企業」之敘述何者正確？,關係企業包括控制與從屬公司以及相互投資公司
經評估客戶單日買賣額度在多少金額以上者，其徵信資料應視客戶資產狀況隨時調查更新？,500萬元
因融券而標借、標購所產生之費用，由何人負擔？,融券人
從短期債權人的角度來看，下列何者最沒有意義？,應收帳款週轉率
推薦證券商自其所推薦之股票開始在櫃檯買賣之日起多久期限內，不得辭任？,一年
下列何者之交易方式不屬於與推薦證券商或造市商議價交易？,上櫃股票
武塔公司本年度存貨週轉率比上期增加許多，可能的原因為：,其他3個選項都是可能的原因
證券商經營櫃檯買賣，應遵守下列哪一事項？,兼具證券自營商及證券經紀商者，應於每次買賣時之書面文件，區別其為自行或代客買賣
臺灣創新板漲跌幅限制為：,0.1
下列股東會實務，何者並「不」符合公司治理原則？,阻止小股東發言
證券商辦理有價證券買賣融資融券，對所留存客戶融券賣出價款及融券保證金，不得作下列哪項運用？,有價證券之自營買賣
"三民公司購買設備，成本$1,000,000，估計可用10年，殘值$50,000。若採用雙倍餘額遞減法（Double Declining Balance）提列折舊，則使用第2年之折舊費用若干？",160000
證券集中交易市場買賣成交之有價證券，其集中交割之收付作業係由交易所委託下列何機構辦理？,證券集中保管事業
當市場報酬率變動4%時，若甲股票報酬率也隨之變動6%，請問甲股票的貝它係數為何？,1.5
根據資本資產訂價模型（CAPM），若一證券之期望報酬率低於無風險利率，則：,貝它係數為負
